sno,sna,sarea,total,ar,latitude,longitude,snaen,sareaen,aren
500104010,YouBike2.0_忠誠路二段53巷,士林區,37,忠誠路2段53巷7號(對面),25.11127,121.53244,YouBike2.0_Ln. 53， Sec. 2， Zhongcheng Rd.,Shilin Dist,No.7， Ln. 53， Sec. 2， Zhongcheng Rd. (Opposite)
500104012,YouBike2.0_天母棒球場,士林區,26,忠誠路二段122號(對面),25.11341,121.53195,YouBike2.0_Taipei Tianmu Baseball Stadium,Shilin Dist,No. 122， Sec. 2， Zhongcheng Rd. (Opposite)
500104013,YouBike2.0_天母北天玉街口,士林區,15,天母北路33號(前),25.12011,121.52652,YouBike2.0_Tianmu N. Rd. & Tianyu St. Intersection,Shilin Dist,No. 33， Tianmu N. Rd.
500104014,YouBike2.0_蘭興公園,士林區,56,中山北路六段/士東路(西北側),25.11184,121.52589,YouBike2.0_Lanxing Park,Shilin Dist,Sec. 6， Zhongshan N. Rd. & Shidong Rd. Intersection (Northwest)
500104015,YouBike2.0_明勝公園,士林區,14,承德路4段6巷71號(對面),25.08009,121.51895,YouBike2.0_Mingsheng Park,Shilin Dist,No. 71， Ln. 6， Sec.4， Chengde Rd. (Opposite)
500104016,YouBike2.0_劍潭海外青年活動中心,士林區,23,中山北路4段/通河街口,25.07994,121.52426,YouBike2.0_Chientan Youth Activity Center,Shilin Dist,Sec. 4， Zhongshan N. Rd. & Tonghe St. Intersection
500104018,YouBike2.0_忠誠路一段173巷口,士林區,11,忠誠路一段177號(前),25.10813,121.5304,YouBike2.0_No. 173， Sec. 1， Zhongcheng Rd. Intersection,Shilin Dist,No. 177， Sec. 1， Zhongcheng Rd.
500104019,YouBike2.0_雨農國小,士林區,21,忠義街6號對側,25.1054,121.5295,YouBike2.0_Yunong Elementary School,Shilin Dist,No. 127， Sec. 1， Zhongcheng Rd.
500104020,YouBike2.0_忠誠公園,士林區,25,忠誠路一段18號(對面),25.10399,121.52593,YouBike2.0_Zhongcheng Park,Shilin Dist,No. 18， Sec. 1， Zhongcheng Rd.
500104021,YouBike2.0_芝山抽水站,士林區,41,至誠路二段47-49號(前),25.10155,121.52832,YouBike2.0_Zhishan Pumping Plant,Shilin Dist,No. 47， Sec. 2， Zhicheng Rd.
500104022,YouBike2.0_至誠路一段305巷口,士林區,21,至誠路一段303號(對面),25.10186,121.53083,YouBike2.0_Ln. 305， Sec. 1， Zhicheng Rd. Intersection,Shilin Dist,No. 303， Sec. 1， Zhicheng Rd.
500104023,YouBike2.0_華齡公園,士林區,32,劍潭路76號(對面),25.08302,121.52069,YouBike2.0_Hualing Park,Shilin Dist,No. 76， Jiantan Rd. (Opposite)
500104024,YouBike2.0_前港公園(福德宮),士林區,18,後港街134巷/後港街口,25.08671,121.52096,YouBike2.0_Qiangang Park(Fude Temple),Shilin Dist,Ln. 134， Hougang/Hougang St. Intersection
500104025,YouBike2.0_華齡街185巷口,士林區,12,華齡街188號(前),25.08828,121.51985,YouBike2.0_Ln. 185， Hualing St.,Shilin Dist,No. 188， Hualing St.
500104026,YouBike2.0_前港公園(前港街),士林區,27,前港街48號(對面),25.0848,121.52125,YouBike2.0_Qiangang Park (Qiangang St),Shilin Dist,No. 48， Qiangang St. (Opposite)
500104027,YouBike2.0_百齡高中,士林區,27,承德路四段179巷/承德路4段口,25.08736,121.52272,YouBike2.0_Bailing High School,Shilin Dist,Ln. 179， Sec. 4， Chengde Rd. Intersection
500104028,YouBike2.0_捷運芝山站(2號出口),士林區,21,福華路151號(對面),25.10364,121.52219,YouBike2.0_MRT Zhishan Station,Shilin Dist,No. 151， Fuhua Rd. (Opposite)
500104029,YouBike2.0_臺灣戲曲中心,士林區,25,文林路751號(南側),25.10208,121.51979,YouBike2.0_Taiwan Traditional Theatre Center,Shilin Dist,No. 751， Wenlin Rd. (South)
500104030,YouBike2.0_捷運劍潭站(2號出口),士林區,49,基河路18號(對面),25.08388,121.52535,YouBike2.0_MRT Jianta Station,Shilin Dist,No.18， Jihe Rd. (Opposite)
500104031,YouBike2.0_劍潭基河路口,士林區,66,劍潭路基河路口(捷運站橋下空間),25.08403,121.5249,YouBike2.0_Jiantan Rd & Jihe Rd Intersection,Shilin Dist,Jiantan Rd. & Jihe Rd. Intersection
500104032,YouBike2.0_志成公園,士林區,23,中正路/雨農路口(西北側),25.09667,121.53206,YouBike2.0_Zhicheng Park,Shilin Dist,Jhongjheng Rd & Yunong Rd. Intersection (Northwest)
500104033,YouBike2.0_福林國小,士林區,14,福志路50號(對面),25.09896,121.53025,YouBike2.0_Fu-Lin Elementary School,Shilin Dist,No. 50， Fuzhi Rd. (Opposite)
500104034,YouBike2.0_中山中正路口,士林區,19,中山北路五段609號(前),25.09651,121.52753,YouBike2.0_Sec. 5， Jhongshan N. Rd & Jhongjheng Rd Intersection,Shilin Dist,No. 609， Sec. 5， Jhongshan N. Rd.
500104035,YouBike2.0_士林運動中心,士林區,30,士商路1號(前),25.08911,121.52154,YouBike2.0_Shihlin Sport Center,Shilin Dist,No. 1， Shishang Rd.
500104036,YouBike2.0_陽明高中,士林區,36,中正路510號(前),25.09164,121.51706,YouBike2.0_Yangming High School,Shilin Dist,No. 510， Zhongzheng Rd.
500104037,YouBike2.0_兒童新樂園,士林區,23,承德路五段55號(旁公車亭),25.09631,121.51449,YouBike2.0_Taipei Children's Amusement Park,Shilin Dist,No. 55， Sec. 5， Chengde Rd.
500104038,YouBike2.0_臺北市立天文館,士林區,46,基河路363號(前),25.09598,121.51776,YouBike2.0_Taipei Astronomical Museum,Shilin Dist,No. 363， Jihe Rd.
500104039,YouBike2.0_華聲公園,士林區,35,華聲街17號(南側路側),25.09619,121.5223,YouBike2.0_Huasheng Park,Shilin Dist,No. 17， Huasheng St. (South)
500104040,YouBike2.0_福林公園,士林區,25,福林路/中山北路五段(東北側),25.09419,121.52833,YouBike2.0_Fulin Park,Shilin Dist,Sec. 5， Zhongshan N. Rd. (Northwest)
500104041,YouBike2.0_捷運士林站(2號出口),士林區,30,中山北路五段505巷44弄2號(對面),25.09343,121.52642,YouBike2.0_MRT Shilin Station (Exit 2),Shilin Dist,No. 2， Aly. 44， Ln. 505， Sec. 5， Zhongshan N. Rd. (Opposite)
500104042,YouBike2.0_銘傳大學,士林區,26,中山北路五段250號(銘傳大學對側),25.08771,121.52677,YouBike2.0_Ming Chuan University Taipei Campus,Shilin Dist,No. 250， Sec. 5， Zhongshan N. Rd.
500104043,YouBike2.0_士林高商,士林區,26,士商路150號(校門旁),25.09435,121.51702,YouBike2.0_Shilin High School of Commerce,Shilin Dist,No. 150， Shishang Rd.
500104044,YouBike2.0_蘭雅公園,士林區,38,忠誠路二段/忠誠路二段40巷(西南側),25.10991,121.53039,YouBike2.0_Lanya Park,Shilin Dist,Ln. 40， Sec. 2， Zhongcheng Rd. Intersection (Southwest)
500104045,YouBike2.0_聯合醫院陽明院區,士林區,25,雨聲街105號(南側),25.10455,121.53195,YouBike2.0_Taipei City Hospital Yangming Branch,Shilin Dist,No. 105， Yusheng St. (South)
500104046,YouBike2.0_捷運芝山站(1號出口),士林區,35,福華路114號(對面),25.10225,121.52286,YouBike2.0_MRT Zhishan Sta. (Exit 1),Shilin Dist,No. 114， Fuhua Rd. (Opposite)
500104047,YouBike2.0_至誠公園,士林區,20,至誠路一段80號(對面),25.10143,121.53585,YouBike2.0_Zhicheng Park,Shilin Dist,No. 80， Sec. 1， Zhicheng Rd. (Opposite)
500104048,YouBike2.0_原住民文化主題公園,士林區,21,至善路二段280號(對面),25.10113,121.55159,YouBike2.0_Indigenous People's Park,Shilin Dist,No. 280， Sec. 2， Zhishan Rd. (Opposite)
500104049,YouBike2.0_通河東街2段10巷口,士林區,15,通河東街2段5號(對面),25.09106,121.51502,YouBike2.0_Ln. 10， Sec. 2， Tonghe E. St. Intersection,Shilin Dist,No. 5， Sec. 2， Tonghe E. St. (Opposite)
500104050,YouBike2.0_梅林新村,士林區,25,至善路一段/至善路一段138巷(北側),25.09755,121.54036,YouBike2.0_Meilin New Village,Shilin Dist,Sec. 1， Zhishan Rd & Ln. 138， Sec. 1， Zhishan Rd (North)
500104051,YouBike2.0_延平北中正路口,士林區,30,中正路613號(對面),25.08678,121.50948,YouBike2.0_Yanping N. Rd & Zhongzheng Rd Intersection,Shilin Dist,No. 403， Zhongzheng Rd
500104052,YouBike2.0_重慶北路四段190巷口,士林區,13,重慶北路四段198號(前),25.08505,121.51166,YouBike2.0_Ln. 190， Sec. 4， Chongqing N. Rd Intersection,Shilin Dist,No. 198， Sec. 4， Chongqing N. Rd
500104053,YouBike2.0_重慶北葫東街口,士林區,15,重慶北路四段177號(前),25.08393,121.51169,YouBike2.0_Sec. 4， Chongqing N. Rd.& Hudong St Intersection,Shilin Dist,No. 177， Sec. 4， Chongqing N. Rd.
500104054,YouBike2.0_葫蘆國小,士林區,30,環河北路三段/葫蘆街(東北側),25.08254,121.5075,YouBike2.0_Hulu Elementary School,Shilin Dist,Sec. 3， Huanhe N. Rd & Hulu St. (Northeast)
500104055,YouBike2.0_士林3號廣場,士林區,38,中山北路六段81號(旁),25.10459,121.52417,YouBike2.0_Shilin Plaza,Shilin Dist,No. 81， Sec 6， Zhongshan N. Rd.
500104056,YouBike2.0_社正公園,士林區,15,社中街39號(對面),25.08824,121.51054,YouBike2.0_Shezheng Park,Shilin Dist,No. 39， Shezhong St. (Opposite)
500104057,YouBike2.0_社子國小,士林區,15,社中街476號(對面),25.09058,121.50142,YouBike2.0_Shezi Elementary School,Shilin Dist,No. 476， Shezhong St. (Opposite)
500104058,YouBike2.0_社中街384巷口,士林區,24,通河西街二段194號(對面),25.09346,121.50376,YouBike2.0_Ln. 384， Shezhong St Intersection,Shilin Dist,No. 194， Sec. 2， Tonghe W. St. (Opposite)
500104059,YouBike2.0_忠誠路一段138號,士林區,15,忠誠路一段138號(斜前方),25.10641,121.52944,YouBike2.0_No. 138， Sec. 1， Zhongcheng Rd,Shilin Dist,No. 138， Sec. 1， Zhongcheng Rd. (Diagonally across)
500104060,YouBike2.0_社子公園,士林區,31,永平街20巷37弄/永平街20巷11弄(社子公園南側),25.0902,121.50622,YouBike2.0_Shezi Park,Shilin Dist,Aly. 37， Ln. 20， Yongping St & Aly. 11， Ln. 20， Yongping St Intersection.
500104061,YouBike2.0_國立故宮博物院,士林區,17,力行街8號(對面),25.09833,121.54788,YouBike2.0_National Palace Museum,Shilin Dist,No. 8， Lixing St. (Opposite)
500104062,YouBike2.0_泰北高中,士林區,23,福林路240號(前),25.09763,121.53402,YouBike2.0_Taibei High School,Shilin Dist,No. 240， Fulin Rd.
500104063,YouBike2.0_後港公園,士林區,15,通河東街二段26號(旁公園),25.09312,121.51419,YouBike2.0_Hougang Park,Shilin Dist,No. 26， Sec. 2， Tonghe E. St. (Side)
500104064,YouBike2.0_重慶北路四段117號,士林區,24,重慶北路四段117號(前),25.08279,121.51219,YouBike2.0_No. 117， Sec. 4， Chongqing N. Rd,Shilin Dist,No. 117， Sec. 4， Chongqing N. Rd.
500104065,YouBike2.0_社子島島頭公園,士林區,22,延平北路九段323號(後方堤外),25.10893,121.46639,YouBike2.0_Daotou Park,Shilin Dist,No. 323， Sec. 9， Yanping N. Rd. (Back)
500104066,YouBike2.0_延平北路八段133巷口,士林區,22,延平北路八段133巷42號(對面),25.10304,121.48297,YouBike2.0_Ln. 133， Sec. 8， Yanping N. Rd Intersection,Shilin Dist,No. 67， Ln. 133， Sec. 8， Yanping N. Rd Intersection. (Opposite)
500104067,YouBike2.0_坤天亭,士林區,14,延平北路八段96巷15號(前),25.1064,121.4836,YouBike2.0_Kuntian Temple,Shilin Dist,No. 15， Ln. 96， Sec. 8， Yanping N. Rd.
500104068,YouBike2.0_社子島濕地解說小築,士林區,15,社子島濕地解說小築,25.11314,121.48974,YouBike2.0_Shezidao Wetlands Service Center,Shilin Dist,Shezidao Wetlands Service Center
500104069,YouBike2.0_福安國中,士林區,25,延平北路七段250號(前),25.10261,121.48819,YouBike2.0_Fu'an Junior High School,Shilin Dist,No. 250， Sec. 7， Yanping N. Rd.
500104070,YouBike2.0_福安消防分隊,士林區,20,延平北路七段42之7號(對面),25.09669,121.49706,YouBike2.0_Taipei City Fire Department of Fuan Station,Shilin Dist,No. 42-7， Sec. 7， Yanping N. Rd. (Opposite)
500104071,YouBike2.0_聖山綠地,士林區,15,忠義街94號(旁),25.10696,121.53234,YouBike2.0_Shengshan Greens,Shilin Dist,No. 94， Zhongyi St.
500104072,YouBike2.0_芝山國小,士林區,38,德行東路285號(德行東路283巷側人行道),25.11044,121.53595,YouBike2.0_Zhishan Elementary School,Shilin Dist,No. 285， Dexing E. Rd. (Ln. 283， Dexing E. Rd)
500104073,YouBike2.0_士林新天地,士林區,29,大南路325號前方,25.08899,121.51751,YouBike2.0_Shilin New Village,Shilin Dist,No.325， Danan Rd.
500104074,YouBike2.0_蘭雅國小,士林區,30,礦溪街與中山北路六段195巷口,25.10775,121.52312,YouBike2.0_Lanya Elementary School,Shilin Dist,Huangsi St. & Ln. 195， Sec. 6， Jhongshan N. Rd. Intersection
500104075,YouBike2.0_中正基河路口,士林區,37,中正路420號前,25.0933,121.51962,YouBike2.0_Jhongjheng Rd. & Jihe Rd. Intersection,Shilin Dist,No. 420， Jhongjheng Rd.
500104076,YouBike2.0_福林公園(中正路),士林區,45,中正路/志成街口(南側),25.09609,121.53006,YouBike2.0_Fulin Park (Jhongjheng Rd.),Shilin Dist,Jhongjheng Rd. & Jhihcheng St. Intersection (South)
500104077,YouBike2.0_至善臨溪路口,士林區,48,至善路一段/臨溪路(西南側),25.09709,121.54229,YouBike2.0_Jhihshan Rd. & Linsi Rd. Intersection,Shilin Dist,Sec. 1， Jhihshan Rd. & Linsi Rd. Intersection (Southwest)
500104078,YouBike2.0_市立圖書館葫蘆堵分館,士林區,13,延平北路五段136巷1號前,25.08217,121.51074,YouBike2.0_Taipei Public Library Huludu Branch,Shilin Dist,No. 1， Ln. 136， Sec. 5， Yanping N. Rd.
500104079,YouBike2.0_東山路110巷口,士林區,16,東山路114號對側,25.11306,121.53945,YouBike2.0_Ln. 110， Dongshan Rd.,Shilin Dist,No. 114， Dongshan Rd. (Opposite)
500104080,YouBike2.0_永平社會住宅,士林區,15,環河北路三段261巷2號,25.08887,121.50314,YouBike2.0_Yongping Social Housing,Shilin Dist,No. 2， Ln. 261， Sec. 3， Huanhe N. Rd.
500104081,YouBike2.0_雨農橋,士林區,16,福志路14巷42號(對面),25.10012,121.53253,YouBike2.0_Yunong Bridge,Shilin Dist,No. 42， Ln. 14， Fuzhi Rd. (Opposite)
500104082,YouBike2.0_通河街76巷/承德路四段10巷口,士林區,14,承德路四段10巷37號(旁),25.08019,121.5202,YouBike2.0_Ln. 76， Tonghe St. & Ln. 10， Sec. 4， Chengde Rd. Intersection,Shilin Dist,No. 37， Ln. 10， Sec. 4， Chengde Rd.
500104083,YouBike2.0_芝山聖佑宮,士林區,25,雨聲街90號旁,25.10455,121.53025,YouBike2.0_Zhishan Shengyou Temple,Shilin Dist,No. 90， Yusheng St.
500104084,YouBike2.0_至誠雨聲街口,士林區,9,至誠路二段與雨聲街口東北側,25.10199,121.52927,YouBike2.0_Zhicheng Rd. & Yusheng St. Intersection,Shilin Dist,Sec. 2， Zhicheng Rd. & Yusheng St. Intersection (Northeast)
500104085,YouBike2.0_捷運線型公園(後街),士林區,28,後街15號旁,25.09812,121.52449,YouBike2.0_MRT Linear Park (Hou St.),Shilin Dist,No. 15， Hou St.
500104086,YouBike2.0_天母公園,士林區,12,中山北路七段141巷30號對側,25.12408,121.53003,YouBike2.0_Tianmu Park,Shilin Dist,No. 30， Ln. 141， Sec. 7， Zhongshan N. Rd. (Opposite)
500104087,YouBike2.0_基河文林路口,士林區,50,基河路3-1號對側人行道,25.08637,121.5247,YouBike2.0_Jihe Rd. & Wenlin Rd. Intersection,Shilin Dist,No. 3-1， Jihe Rd. (Opposite)
500104088,YouBike2.0_文林福華路口,士林區,19,文林路 / 福華路口(東側),25.10094,121.52243,YouBike2.0_Wenlin Rd. & Fude Rd. Intersection,Shilin Dist,Wenlin Rd. & Fude Rd. Intersection (East)
500104089,YouBike2.0_劍潭海外青年活動中心_1,士林區,39,通河街 / 通河街2巷(南側),25.0796,121.5237,YouBike2.0_Chientan Overseas Youth Activity Center_1,Shilin Dist,Tonghe St. & Ln. 2， Tonghe St.
500104090,YouBike2.0_社子國小_1,士林區,36,延平北路六段/社中街(社子國小對面跨提便道橋下),25.09029,121.50189,YouBike2.0_SheZi Elementary School,Shilin Dist,Sec. 6， Yanping N. Rd./Shezhong St. Intersection (South)
500104091,YouBike2.0_捷運劍潭站(1號出口),士林區,70,捷運劍潭站(1號出口)北側,25.08577,121.52531,YouBike2.0_MRT Jianta Sta. (Exit 1),Shilin Dist,MRT Jianta Sta. (Exit 1) (North)
500104092,YouBike2.0_德行東山路口,士林區,12,德行東路/東山路(西北側),25.1107,121.53999,YouBike2.0_Dexing Rd. & Dongshan Rd. Intersection,Shilin Dist,Dexing E. Rd. & Dongshan Rd. Intersection (Northwest)
500104094,YouBike2.0_重慶北通河西街口,士林區,12,重慶北路四段276號(前),25.08756,121.51177,YouBike2.0_Chongqing N. Rd. & Tonghe W. St. Intersection,Shilin Dist,No. 276， Sec. 4， Chongqing N. Rd.
500104095,YouBike2.0_葫蘆國小(延平北路五段285巷),士林區,25,環河北路三段/延平北路五段285巷,25.08406,121.5067,YouBike2.0_Hulu Elementary School (Ln. 285， Sec. 5， Yanping N. Rd.),Shilin Dist,Sec. 3， Huanhe N. Rd. & Ln. 285， Sec. 5， Yanping N. Rd. Intersection
500104096,YouBike2.0_社子市場,士林區,15,延平北路六段67號旁,25.0881,121.50873,YouBike2.0_Shezi Market,Shilin Dist,No. 67， Sec. 6， Yanping N. Rd.
500104097,YouBike2.0_士林區農會社子分部,士林區,8,社子街162號旁,25.08912,121.5049,YouBike2.0_Shilin District Farmers' Association (Shezi St.),Shilin Dist,No. 162， Shezi St.
500104098,YouBike2.0_承德劍潭路口,士林區,19,承德路四段與劍潭路口西側,25.0841,121.52341,YouBike2.0_Chengde Rd. & Jiantan Rd. Intersection,Shilin Dist,Sec. 4， Chengde Rd. & Jiantan Rd. Intersection (West)
500104099,YouBike2.0_文林路101巷口,士林區,17,文林路100號前,25.08761,121.52608,YouBike2.0_Ln. 101， Wenlin Rd.,Shilin Dist,No. 100， Wenlin Rd.
500104100,YouBike2.0_延平北路五段257巷15弄口,士林區,11,葫蘆街184號對側,25.08408,121.50959,YouBike2.0_Aly. 15， Ln. 257， Sec. 5， Yanping N. Rd.,Shilin Dist,No. 184， Hulu St.
500104101,YouBike2.0_延平北路五段257巷4弄口,士林區,15,延平北路五段257巷17號前,25.08471,121.5089,YouBike2.0_Aly. 4， Ln. 257， Sec. 5， Yanping N. Rd.,Shilin Dist,No. 17， Ln. 257， Sec. 5， Yanping N. Rd.
500104102,YouBike2.0_啟明學校,士林區,16,忠誠路二段200號(新光三越天母店)對側,25.11742,121.53472,YouBike2.0_Taipei School For The Visually Impaired,Shilin Dist,No. 200， Sec. 2， Zhongcheng Rd. (Opposite)
500104103,YouBike2.0_中山福國路口,士林區,14,中山北路五段837號前,25.10203,121.52561,YouBike2.0_Zhongshan N. Rd. & Fuguo Rd. Intersection,Shilin Dist,No. 837， Sec. 5， Zhongshan N. Rd.
500104104,YouBike2.0_德行公園,士林區,14,德行西路33號對側,25.10585,121.52376,YouBike2.0_Dexing Park,Shilin Dist,No. 33， Dexing W. Rd. (Opposite)
500104105,YouBike2.0_承德後港街口,士林區,20,承德路四段/後港街口,25.08238,121.52309,YouBike2.0_Chengde Rd & Hougang St. Intersection,Shilin Dist,Sec. 4， Chengde Rd & Hougang St. Intersection
500104106,YouBike2.0_中山北路五段698巷口,士林區,15,中山北路五段692號前,25.09765,121.52757,YouBike2.0_Ln. 698， Sec. 5， Zhongshan N. Rd.,Shilin Dist,No. 692， Sec. 5， Zhongshan N. Rd.
500104107,YouBike2.0_捷運士林站(1號出口),士林區,38,中正路236巷/中正路口,25.09561,121.52552,YouBike2.0_MRT Shilin Sta. (Exit 1),Shilin Dist,Ln. 236， Zhongzheng Rd. & Zhongzheng Rd. Intersection
500104108,YouBike2.0_捷運芝山站(2號出口)_1,士林區,62,福華路/福華路162巷(東南側),25.10336,121.52263,YouBike2.0_MRT Zhishan Sta. (Exit 2)_1,Shilin Dist,Fuhua Rd. & Ln. 162， Fuhua Rd. Intersection (Southeast)
500104109,YouBike2.0_銘傳大學(中山北路五段280巷口),士林區,23,中山北路五段280巷口,25.08762,121.52711,YouBike2.0_MCU (Ln. 280， Sec. 5， Zhongshan N. Rd.),Shilin Dist,Ln. 280， Sec. 5， Zhongshan N. Rd.
500104110,YouBike2.0_海光公園南側,士林區,12,葫蘆街79號對側公園,25.08036,121.5084,YouBike2.0_Haiguang Park (South),Shilin Dist,No. 79， Hulu St. (Opposite)
500104111,YouBike2.0_士商路40巷口,士林區,15,士商路40巷2號旁,25.09013,121.52054,YouBike2.0_Ln. 40， Shishang Rd.,Shilin Dist,No. 2， Ln. 40， Shishang Rd.
500104112,YouBike2.0_劍潭郵局,士林區,32,基河路/承德路四段77巷口(捷運橋下),25.08182,121.52431,YouBike2.0_Shihlin Jiantan Post Office,Shilin Dist,Jihe Rd. & Ln. 77， Sec. 4， Chengde Rd. Intersection (Under Bridge)
500104113,YouBike2.0_士東路91巷口,士林區,16,士東路91巷3號旁,25.11247,121.52914,YouBike2.0_Ln. 91， Shidong Rd.,Shilin Dist,No. 3， Ln. 91， Shidong Rd.
500104114,YouBike2.0_美崙公園,士林區,13,美崙街118號斜對面人行道,25.09677,121.51931,YouBike2.0_Meilun Park,Shilin Dist,No. 118， Meilun St. (Opposite)
500104115,YouBike2.0_臺北市立大學(忠誠路二段207巷),士林區,17,忠誠路二段207巷/士東路299巷口,25.11642,121.53743,YouBike2.0_University of Taipei (Ln. 270， Sec. 2， Zhongcheng Rd.),Shilin Dist,Ln. 270， Sec. 2， Zhongcheng Rd. & Ln. 299， Shidong Rd. Intersection
500104116,YouBike2.0_天母東路8巷/忠誠路二段154巷口,士林區,14,天母東路8巷57號對側,25.11579,121.53113,YouBike2.0_Ln. 8， Tianmu E. Rd. & Ln. 154， Sec. 2， Zhongcheng Rd. Intersection,Shilin Dist,No. 57， Ln. 8， Tianmu E. Rd. (Opposite)
500104117,YouBike2.0_美崙公園(東北側),士林區,15,文林路587巷115號對側,25.09886,121.51835,YouBike2.0_Meilun Park (Northeast),Shilin Dist,No. 115， Ln. 587， Wenlin Rd. (Opposite)
500104118,YouBike2.0_福安河濱公園,士林區,14,延平北路七段145巷45號斜對面,25.09646,121.49358,YouBike2.0_Fuan Riverside Park,Shilin Dist,No. 45， Ln. 145， Sec. 7， Yanping N. Rd. (Opposite)
500104119,YouBike2.0_忠誠忠義街口(北側),士林區,13,忠誠路一段125號前,25.10566,121.52922,YouBike2.0_Zhongcheng Rd. & Zhongyi St. Intersection (North),Shilin Dist,No. 125， Sec. 1， Zhongcheng Rd.
500104120,YouBike2.0_忠誠忠義街口(南側),士林區,14,忠誠路一段109號前,25.10519,121.52869,YouBike2.0_Zhongcheng Rd. & Zhongyi St. Intersection (South),Shilin Dist,No. 109， Sec. 1， Zhongcheng Rd.
500104121,YouBike2.0_士林國小,士林區,15,福德路與福德路48巷口,25.09204,121.52472,YouBike2.0_Shilin Elementary School,Shilin Dist,Fude Rd. & Ln. 48， Fude Rd. Intersection
500104122,YouBike2.0_雙溪濕地公園,士林區,15,承德路五段與承德路五段150巷口西南側,25.09762,121.51321,YouBike2.0_ShuangXi Park,Shilin Dist,Sec. 5， Chengde Rd. & No. 150， Sec. 5， Chengde Rd. Intersection (Southwest)
500104123,YouBike2.0_劍潭海外青年活動中心(志清大樓),士林區,30,中山北路四段16號(志清大樓旁),25.07793,121.52357,YouBike2.0_Chientan Youth Activity Center (Chin Ching Building),Shilin Dist,No. 16， Sec. 4， ZhongShan N. Rd. (Chin Ching Building)
500104124,YouBike2.0_天和一號公園,士林區,15,天母東路69巷/天母東路,25.11836,121.53466,YouBike2.0_No.1 TianHe Park,Shilin Dist,Ln. 69， TianMu E. Rd. & TianMu E. Rd. Intersection
500104125,YouBike2.0_忠誠路二段178巷口,士林區,15,忠誠路二段178巷13號對面,25.11633,121.53295,YouBike2.0_Ln. 178， Sec. 2， ZhongCheng Rd.,Shilin Dist,No. 13， Ln. 178， Sec. 2， ZhongCheng Rd. (Opposite)
500104126,YouBike2.0_克強磺溪街口,士林區,14,克強路與磺溪街口西南側,25.10893,121.52319,YouBike2.0_KeGiang Rd. & HuangXi St. Intersection,Shilin Dist,KeQiang Rd. & HuangXi St. Intersection (Southwest)
500104128,YouBike2.0_蘭雅公園(西側),士林區,15,德行東路109巷75號東側,25.10985,121.52859,YouBike2.0_LanYa Park  (West),Shilin Dist,No. 75， Ln. 109， DeXing E. Rd. (East)
500104129,YouBike2.0_福林路100巷77弄口,士林區,18,福林路100巷/福林路100巷77弄,25.09441,121.53285,YouBike2.0_Aly. 77， Ln. 100， FuLin Rd.,Shilin Dist,Ln. 100， FuLin Rd. & Aly. 77， Ln. 100， FuLin Rd. Intersection
500104130,YouBike2.0_福林路100巷11弄口,士林區,15,福林路100巷11弄/福林路100巷77弄,25.09601,121.53262,YouBike2.0_Aly. 11， Ln. 100， FuLin Rd.,Shilin Dist,Aly. 11， Ln. 100， FuLin Rd. & Aly. 77， Ln. 100， FuLin Rd. Intersection
500104131,YouBike2.0_重慶北路四段190巷口(通河西街側),士林區,15,通河西街一段92號對側,25.0848,121.51253,YouBike2.0_Ln. 190， Sec. 4， ChongQing N. Rd. (TongHe W. St.),Shilin Dist,No. 92， Sec. 1， TongHe W. St.
500104132,YouBike2.0_承德區民活動中心,士林區,25,承德路四段5-1號(前),25.07892,121.52157,YouBike2.0_ChengDe Community Activity Center,Shilin Dist,No. 5-1， Sec. 4， ChengDe Rd.
500104133,YouBike2.0_福林路255巷口,士林區,18,福林路255巷口,25.09854,121.53528,YouBike2.0_Ln. 255， FuLin Rd.,Shilin Dist,福林路259號(前)
500104134,YouBike2.0_中山北路五段378巷口,士林區,27,中山北路五段380號(前),25.09064,121.52765,YouBike2.0_Ln. 378， Sec. 5， ZhongShan N. Rd.,Shilin Dist,No. 380， Sec. 5， ZhongShan N. Rd.
500104135,YouBike2.0_中山北路六段405巷,士林區,21,中山北路六段405巷60-3號(前),25.11576,121.52693,YouBike2.0_Ln. 405， Sec. 6， ZhongShan N. Rd.,Shilin Dist,No. 60-3， Ln. 405， Sec. 6， ZhongShan N. Rd.
500104136,YouBike2.0_圓山育樂中心,士林區,22,中山北路五段6號(前),25.08248,121.52548,YouBike2.0_YSSC YuanShan Sport Club,Shilin Dist,No. 6， Sec. 5， ZhongShan N. Rd.
500104137,YouBike2.0_至善公園,士林區,25,至善路/福林路254巷(北側),25.09862,121.53749,YouBike2.0_ZhiShan Park,Shilin Dist,Zhishan Rd. & Ln. 254， FuLin Rd. Intersection (North)
500105001,YouBike2.0_台北花木批發市場,文山區,40,萬盛街/興隆路一段(西北側),25.00402,121.54074,YouBike2.0_Taipei Pot Plant Market,Wenshan Dist,Wancheng St. & Sec. 1， Xinrong Rd. (Northwest)
500105002,YouBike2.0_捷運萬隆站(4號出口),文山區,22,羅斯福路5段210號(前),25.0027,121.53861,YouBike2.0_MRT Wanlong Sta. (Exit 4),Wenshan Dist,No. 210， Sec. 5， Roosevelt Rd.
500105003,YouBike2.0_捷運萬隆站(1號出口),文山區,34,羅斯福路五段250號(前),25.00115,121.53916,YouBike2.0_MRT Wanlong Sta. (Exit 1),Wenshan Dist,No. 250， Sec. 5， Roosevelt Rd.
